X_SMHI;Y_SMHI;Name;Year;Month;Day;Depth m;Temp_ øC;pH ;Cond_ mS/m25øC;Ca meq/l;Mg meq/l;Na meq/l;K meq/l;Alk_/Acid meq/l;SO4_IC meq/l;Cl meq/l;NO2+NO3-N ug/l;Tot-N_ps ug/l;Tot-P ug/l;Abs__F 420nm/5cm;TOC mg/l;Si mg/l
654364;149190;ÖLÅNGSSJÖN;2005;11;27;1;2.7;7.36;11.3;0.792;0.098;0.176;0.032;0.558;0.258;0.204;26;785;18;0.091;10.1;0.57
654378;153053;TYVEN;2005;11;27;1;3;7.32;18.2;0.911;0.426;0.478;0.072;1.088;0.154;0.542;185;1027;37;0.175;14.8;5.54
654417;154107;LILLSJÖN;2005;11;27;1;2.8;7.22;12.4;0.467;0.314;0.383;0.066;0.501;0.268;0.375;141;563;46;0.093;9.5;1.6
654766;154579;BJUREN;2005;11;27;1;2.7;7.15;19.3;0.536;0.477;0.774;0.069;0.688;0.237;0.972;44;588;37;0.083;8;2.31
654894;155616;AXSJÖN;2005;11;26;1;2.6;6.09;8.76;0.4;0.286;0.243;0.056;0.258;0.19;0.174;290;1187;100;0.868;38.4;5.55
655032;153167;KYRKSJÖN;2005;11;27;1;1.8;7.06;16;0.819;0.452;0.323;0.091;0.859;0.35;0.301;270;854;88;0.27;15.3;6.21
655081;152927;JÄGERN;2005;11;27;1;1.4;7.35;18.7;1;0.53;0.358;0.088;1.201;0.317;0.338;434;1811;61;0.255;13.5;2.9
655081;152927;JÄGERN;2005;11;27;1;2.3;7.5;24.1;1.284;0.713;0.413;0.127;1.73;0.375;0.326;712;1816;111;0.076;10.1;1.92
655185;152932;FLODEN;2005;11;27;1;1.9;7.02;16.6;0.889;0.481;0.316;0.101;0.886;0.349;0.284;591;1257;197;0.451;15.6;6.1
655187;158633;KLÄMMINGEN;2005;11;22;1;6.6;7.11;11.2;0.481;0.299;0.289;0.053;0.474;0.304;0.255;201;603;18;0.039;8.3;1.46
655275;153234;ÄLGSJÖN;2005;11;27;1;2.9;6.92;5.52;0.286;0.154;0.137;0.024;0.245;0.088;0.073;85;524;20;0.271;17.3;3.93
655483;153459;GÅLSJÖN;2005;11;27;1;4.2;6.86;6.07;0.288;0.163;0.148;0.028;0.207;0.15;0.096;158;637;36;0.297;14.4;4.1
655551;156356;ÄLVSJÖN;2005;11;26;1;3.3;6.3;4.54;0.223;0.126;0.125;0.016;0.115;0.084;0.084;87;612;33;0.558;24;4.25
